image_name,label,valid
7238.jpg,1,False
1532.jpg,1,False
23230.jpg,2,False
19137.jpg,3,False
22805.jpg,1,False
8998.jpg,0,False
5652.jpg,0,False
18388.jpg,1,False
14250.jpg,5,False
9725.jpg,0,False
8977.jpg,1,False
659.jpg,3,False
14223.jpg,1,False
1228.jpg,3,False
13198.jpg,2,False
23453.jpg,1,False
19819.jpg,1,False
10382.jpg,4,False
14416.jpg,0,False
3767.jpg,5,False
13113.jpg,4,False
22656.jpg,5,False
11740.jpg,1,False
23166.jpg,3,False
10789.jpg,4,False
21645.jpg,1,False
6432.jpg,4,False
9935.jpg,2,False
4114.jpg,1,False
298.jpg,4,False
12623.jpg,5,False
22149.jpg,1,False
22141.jpg,3,False
3850.jpg,3,False
7136.jpg,4,False
3098.jpg,5,False
190.jpg,2,False
4215.jpg,3,False
10354.jpg,5,False
6416.jpg,2,False
23594.jpg,0,False
16211.jpg,4,False
21929.jpg,0,False
5516.jpg,4,False
11744.jpg,5,False
1636.jpg,0,False
715.jpg,5,False
8563.jpg,1,False
10104.jpg,2,False
17845.jpg,2,False
10718.jpg,1,False
3540.jpg,0,False
8328.jpg,1,False
6757.jpg,0,False
16580.jpg,5,False
13747.jpg,5,False
15493.jpg,3,False
14135.jpg,3,False
21373.jpg,1,False
8348.jpg,4,False
9487.jpg,0,False
18214.jpg,5,False
2565.jpg,2,False
8658.jpg,0,False
15653.jpg,0,False
11052.jpg,5,False
7216.jpg,5,False
20272.jpg,2,False
3839.jpg,5,False
19326.jpg,2,False
5433.jpg,3,False
468.jpg,4,False
953.jpg,4,False
2282.jpg,2,False
3651.jpg,1,False
10341.jpg,1,False
17615.jpg,5,False
22967.jpg,5,False
19550.jpg,5,False
7861.jpg,2,False
22689.jpg,5,False
9750.jpg,0,False
16175.jpg,5,False
11939.jpg,5,False
19546.jpg,1,False
13526.jpg,0,False
10867.jpg,5,False
11855.jpg,0,False
12913.jpg,0,False
8767.jpg,4,False
17445.jpg,1,False
11263.jpg,2,False
19002.jpg,1,False
19206.jpg,1,False
19793.jpg,3,False
1773.jpg,1,False
17764.jpg,0,False
21034.jpg,5,False
14956.jpg,1,False
8801.jpg,0,False
13502.jpg,4,False
11247.jpg,2,False
4506.jpg,0,False
3915.jpg,3,False
7775.jpg,4,False
3551.jpg,1,False
17089.jpg,5,False
12775.jpg,4,False
17324.jpg,5,False
4980.jpg,3,False
24052.jpg,5,False
12272.jpg,1,False
23370.jpg,3,False
4174.jpg,3,False
12392.jpg,5,False
8964.jpg,0,False
10495.jpg,0,False
16821.jpg,5,False
7501.jpg,0,False
10358.jpg,5,False
8292.jpg,0,False
9692.jpg,4,False
8231.jpg,2,False
20151.jpg,1,False
5949.jpg,5,False
15657.jpg,1,False
16564.jpg,0,False
1129.jpg,3,False
22717.jpg,0,False
1523.jpg,5,False
16288.jpg,2,False
22437.jpg,4,False
9046.jpg,3,False
10609.jpg,3,False
4822.jpg,5,False
13273.jpg,4,False
1572.jpg,5,False
23841.jpg,4,False
20730.jpg,0,False
18576.jpg,4,False
22736.jpg,4,False
16705.jpg,2,False
1700.jpg,3,False
18556.jpg,3,False
8577.jpg,0,False
17093.jpg,5,False
10611.jpg,3,False
6940.jpg,1,False
5117.jpg,3,False
14349.jpg,4,False
12624.jpg,2,False
15142.jpg,5,False
22433.jpg,4,False
20746.jpg,2,False
1323.jpg,5,False
13947.jpg,2,False
6337.jpg,4,False
6662.jpg,1,False
22645.jpg,5,False
9103.jpg,5,False
444.jpg,4,False
15518.jpg,0,False
21896.jpg,5,False
6167.jpg,3,False
12367.jpg,2,False
12568.jpg,4,False
16808.jpg,0,False
19691.jpg,3,False
1309.jpg,3,False
11150.jpg,4,False
1699.jpg,3,False
538.jpg,5,False
11348.jpg,4,False
9377.jpg,1,False
16629.jpg,3,False
20040.jpg,2,False
5649.jpg,4,False
5519.jpg,5,False
3422.jpg,1,False
